"Product Code","Product Name",Variant,Expected,Counted
087000301368,"trimbach pinot gris",,-2.0000,
4002103248231,"erdinger weibbier",,-2.0000,
4002103284574,"erdinger dunkel",,-7.0000,
4022214171037,"villa wolf riesling",,0.0000,
5017263005616,"SD Butter Fudge 100g",,0.0000,
5017263005654,"SD Seasalt Fudge 100g",,0.0000,
5017263005661,"SD Ginger Fudge 100g",,0.0000,
5017263005777,"SD Choco Peanut Brittle 100g",,0.0000,
5017263005869,"SD Cinder Toffee Sleeve 100g",,0.0000,
5017263015752,"SD Butter Fudge Tube 275g",,0.0000,
5017263015769,"SD Milk Choc Cinder Tube 275g",,0.0000,
5017605112118,"DD Raspberry White Choc Short 200g",,-1.0000,
5017605112255,"DD Scottish Shortbread 200g",,0.0000,
5017605112262,"DD All Butter Shortbread 200g",,-3.0000,
5017605112279,"DD Choc Chip Short 200g",,-1.0000,
5017605112293,"DD Choc Orange Short 200g",,-1.0000,
5060047371308,"Prestat Sea Salt Truffles 175g",,0.0000,
5060047371681,"Prestat Dark Chocolate  Mint Crunch 75g",,0.0000,
5060047371711,"Prestat Dark Choc With Raspberry 75g",,0.0000,
5060047371728,"Prestat Roasted Almond Milk Chocolate 75g",,0.0000,
5060047372800,"Prestat Yuzu Truffles 175g",,0.0000,
5060047375337,"Prestat Dark Choc 80% 75g",,-1.0000,
5060118260425,"CF Coconut & Date Org Bar 40g",,0.0000,
5060118260456,"CF Coconut & Cocoa Org Bar 40g",,0.0000,
5060118260579,"CF Coconut Macaroon Org Bar 35g",,0.0000,
5060270010791,"BK Spicy African BBQ Sauce",,0.0000,
5060270011224,"BK Sweet African Tigernut & Chilli",,0.0000,
5060270011309,"BK Hot African Pepper Sauce",,0.0000,
5060300550129,"OB SunDried Tomato Mix",,0.0000,
5060300550174,"OB Olives Sundried Tom & Feta",,0.0000,
5060300550204,"OB Kalam Olives W Fig & Mint",,0.0000,
5060300550242,"OB Greek Whole OLive Mix",,0.0000,
5410228141266,"stella artois",,-4.0000,
5410228141785,hoegaarden,,-5.0000,
5410228142089,leffe,,-9.0000,
5410228224747,"hoegaarden rose",,-2.0000,
5690351231007,"icelandic 500ml still",,-12.0000,
5690351231113,"icelandic 1500ml still",,-2.0000,
5690351231403,"icelandic 330ml still",,-3.0000,
6001108028044,"savanna cider",,-8.0000,
666785692405,"Quince Paste 240g",,0.0000,
689214787268,"Cordial Pineapple & Mint 750ml",,0.0000,
689214787503,"Raspberry Jam 285g",,0.0000,
689214787510,"Triple Berry Jam 285g",,0.0000,
689214787589,"Fig & Ginger Jam 285g",,0.0000,
702865465658,"MF Milk Choc Honeycomb Bar 43g",,0.0000,
702865465672,"MF Peanut Butter Honeycomb Bar 43g",,-2.0000,
702865465689,"MF Salted Cara Honeycomb Bar 43g",,0.0000,
8001291001914,"barone ricasoli rocca chianti classico DOCG",,-1.0000,
8002270011023,"san pellegrino 500ml sparkling",,-11.0000,
8002270011054,"san pellegrino 750ml  sparkling",,-3.0000,
8002270015083,"aqua panna 1000ml still",,0.0000,
8002270015090,"aqua panna 500ml still",,-3.0000,
8002270018237,"aqua panna 750ml still",,-1.0000,
8002270018602,"san pellegrino 1000ml  sparkling",,-4.0000,
8002270072925,"san pellegrino lemon",,-3.0000,
8002270072932,"san pellegrino orange",,-12.0000,
8002270075230,"san pellegrino chinotto",,-2.0000,
8002270296475,"san pellegrino blood orange",,-4.0000,
8002270456558,"san pellegrion tonica",,-1.0000,
8002996000561,"Venchi Saltednut and Salato 100g",,-1.0000,
8002996001209,"Venchi  Milano 100g",,-1.0000,
8002996130060,"Venchi Hot Chocolate 250g",,0.0000,
8034115190242,"purato pinot grigio",,0.0000,
8034115190266,"purato nero Davola terre siciliance",,-1.0000,
8410793282934,"estrella damm",,-3.0000,
9300620536165,"wynns estate shiraz",,0.0000,
9312088001826,"wolf blass red lable pink moscato",,0.0000,
9324590000273,"Rhubarb and Strawberry Jam 285g",,0.0000,
9324590000334,"Chocolate frut  & Nuts mixe 180g",,0.0000,
9324590000570,"Nuts Macadamia Dark Choc 180g",,0.0000,
9324590000808,"Nuts Almond Vienna 180g",,0.0000,
9324590000815,"Nuts Macadamia Candied 180g",,0.0000,
9324590001270,"Vinegar Jones Balsamic 375ml",,0.0000,
9324590001280,"EVO Jones 375ml",,0.0000,
9324590001959,"Sauce Puttanesca 300g",,0.0000,
9324590002086,"Sauce Arrabbiata 300g",,0.0000,
9324590002130,"Vinegar White Wine 375ml",,0.0000,
9324590002673,"Sauce Napolitana 300g",,0.0000,
9324590004967,"Milk Chocolate  Almonds 180g",,0.0000,
9324590004981,"Nuts Cashews Honey Roasted 180g",,0.0000,
9324590005025,"Coffee Latte coffee bean 180g",,0.0000,
9324590008651,"sour snake 150g",,-4.0000,
9324590008682,"Sour Bears 150g",,-4.0000,
9324590008750,"Sugar Free Gummy Bears 150g",,0.0000,
9324590008781,"Sugar Free Strawberries 150g",,0.0000,
9324590008996,"Licorice Allsorts 150g",,0.0000,
9324590010258,"Jones Sea Salt Flakes 150g",,0.0000,
9324590012511,"Cordial Lime Lemon & Kaffir Lime 750ml",,0.0000,
9324590012528,"Cordial Blood Orange & Cardamom 750ml",,0.0000,
9324590012559,"Cordial Passionfruit & Lemongrass 750ml",,-1.0000,
9324590012641,"Jones Crispbread  (100g)",,-1.0000,
9324590013273,"Jones Muscatels 150g",,0.0000,
9324590013389,"Egyptian Dukkah 135g",,0.0000,
9324590013693,"Mid East Baharat 115g",,0.0000,
9324590013716,"North African Ras El Hanout 110",,0.0000,
9324590014775,"Honey Yellow Box 350g",,0.0000,
9324590014782,"Honey Orange Blossom 350g",,0.0000,
9324590014898,"jones hot chocolate 400g",,0.0000,
9324590014997,"PastaPepper Pappardelle 375g",,0.0000,
9324590015000,"Pasta Egg Fettuccine 375g",,0.0000,
9324590015017,"Pasta Squid Ink Linguine 375g",,0.0000,
